EnsemblProteinFamilyID(s)	HGNCsymbol
ENSFM00580000909908	KLHL2
ENSFM00250000000235	SERPINA6
ENSFM00250000003491	FAM172A
ENSFM00500000271306	CHMP3
ENSFM00500000270641	CECR5
ENSFM00670001235250	TRIM39
ENSFM00550000763692	TRIM39
ENSFM00550000764472	TRIM39
ENSFM00550000769524	TRIM39
ENSFM00250000001173	NDST4
ENSFM00770001863847	DEFB133
ENSFM00250000003320	CASC4
ENSFM00650001148998	CASC4
ENSFM00650001148999	CASC4
ENSFM00430000230144	ARHGAP1
ENSFM00290000065595	TMEM65
ENSFM00250000000587	NFIB
ENSFM00730001543959	NFIB
ENSFM00380000124754	ANKRD32
ENSFM00260000050505	CRHR2
ENSFM00550000753223	CRHR2
ENSFM00550000747761	CRHR2
ENSFM00250000000295	PCSK4
ENSFM00250000003470	AKAP1
ENSFM00700001394137	AKAP1
ENSFM00670001273751	AKAP1
ENSFM00260000050984	PROKR1
ENSFM00730001521578	DNAH5
ENSFM00250000001722	RIC8B
ENSFM00630001060018	RIC8B
ENSFM00630001060019	RIC8B
ENSFM00680001313271	RIC8B
ENSFM00250000002884	SLC30A9
ENSFM00670001236709	C6orf201
ENSFM00500000270352	GPX3
ENSFM00600000945109	GPX3
ENSFM00600000945110	GPX3
ENSFM00600000944473	GPX3
ENSFM00760001750966	GPX3
ENSFM00250000004895	FUK
ENSFM00250000001524	TXLNG
ENSFM00430000230074	OR2J1
ENSFM00250000000490	ATP6V0A4
ENSFM00250000004343	FAH
ENSFM00660001166988	FAH
ENSFM00250000007607	PMFBP1
ENSFM00620001002663	PMFBP1
ENSFM00620001020138	PMFBP1
ENSFM00620001020139	PMFBP1
ENSFM00500000270437	PNMA2
ENSFM00740001589325	RLIM
ENSFM00500000269634	BTNL9
ENSFM00670001236070	RPS21
ENSFM00550000750841	RPS21
ENSFM00620001001024	RPS21
ENSFM00800002003465	COPG2
ENSFM00500000273814	IGFBP6
ENSFM00730001521673	CTNND2
ENSFM00250000001130	SCUBE2
ENSFM00500000275368	RNASE12
ENSFM00500000275413	CDPF1
ENSFM00550000745525	CDPF1
ENSFM00600000934471	CDPF1
ENSFM00750001632321	PPIAL4G
ENSFM00250000000002	ZNF562
ENSFM00690001374308	ZNF562
ENSFM00690001374312	ZNF562
ENSFM00800002003686	TSR3
ENSFM00660001189594	TSR3
ENSFM00570000851385	NPIPB15
ENSFM00600000922157	SCAND1
ENSFM00670001236960	CDC42SE1
ENSFM00250000005703	KDM8
ENSFM00660001176846	KDM8
ENSFM00250000002602	IFT140
ENSFM00440000236915	NFKBIA
ENSFM00640001115016	NFKBIA
ENSFM00640001117018	NFKBIA
ENSFM00670001236026	MEGF8
ENSFM00700001403943	MEGF8
ENSFM00250000008078	GCKR
ENSFM00250000003099	SSX5
ENSFM00250000013545	TEX43
ENSFM00250000000992	SHH
ENSFM00500000270904	SERBP1
ENSFM00250000007992	GPR176
ENSFM00760001715069	EPB41L4A
ENSFM00670001235580	FKBP1C
ENSFM00250000001234	PARP1
ENSFM00730001521138	KRT20
ENSFM00500000269848	MTNR1B
ENSFM00610000969695	MTNR1B
ENSFM00610000971338	MTNR1B
ENSFM00500000270226	CHST2
ENSFM00740001589148	LAMA5
ENSFM00560000826607	LAMA5
ENSFM00500000272834	FAM184B
ENSFM00250000006394	TDP2
ENSFM00780001898376	OSBPL11
ENSFM00470000251475	FHAD1
ENSFM00250000001889	SWAP70
ENSFM00610000970550	SWAP70
ENSFM00250000002070	MANEAL
ENSFM00500000275423	ANKRD39
ENSFM00250000008544	VSTM5
ENSFM00550000747266	VSTM5
ENSFM00250000006734	KIAA1147
ENSFM00740001589264	APOBEC3A
ENSFM00250000005826	RMI1
ENSFM00310000089029	PDE3B
ENSFM00500000269827	NDNL2
ENSFM00730001521806	DAPK3
ENSFM00700001403893	DAPK3
ENSFM00250000006146	HPS3
ENSFM00800002003429	SLC1A2
ENSFM00610000968779	SLC1A2
ENSFM00300000079233	RBBP8NL
ENSFM00500000272001	GPAA1
ENSFM00610000968970	GPAA1
ENSFM00250000007567	KIAA1958
ENSFM00600000921680	SHISA5
ENSFM00550000754036	SHISA5
ENSFM00550000766941	SHISA5
ENSFM00550000749005	SHISA5
ENSFM00400000133001	SHISA5
ENSFM00740001589172	ZNF398
ENSFM00500000272329	JAM2
ENSFM00500000270355	TVP23C-CDRT4
ENSFM00690001357295	TVP23C-CDRT4
ENSFM00600000942185	TVP23C-CDRT4
ENSFM00250000002047	SH3GLB2
ENSFM00550000757994	SH3GLB2
ENSFM00550000764496	SH3GLB2
ENSFM00250000000600	ATF1
ENSFM00630001070442	ATF1
ENSFM00630001070866	ATF1
ENSFM00600000921208	TRIOBP
ENSFM00620001002304	TRIOBP
ENSFM00320000100360	RNASE11
ENSFM00250000000938	CNNM3
ENSFM00800002003904	CCDC63
ENSFM00500000270563	REEP5
ENSFM00670001259482	REEP5
ENSFM00500000274352	DNAJC4
ENSFM00500000305502	DNAJC4
ENSFM00620001021136	DNAJC4
ENSFM00740001589403	ZNF596
ENSFM00600000944274	ZNF596
ENSFM00600000944275	ZNF596
ENSFM00600000945336	ZNF596
ENSFM00740001613549	ZNF596
ENSFM00600000921149	TNNT1
ENSFM00700001394671	TNNT1
ENSFM00700001403542	TNNT1
ENSFM00690001359320	TNNT1
ENSFM00500000271301	ETV7
ENSFM00250000000259	HIST1H3H
ENSFM00500000283603	C1orf186
ENSFM00250000000002	ZNF559
ENSFM00690001359393	ZNF559
ENSFM00690001369610	ZNF559
ENSFM00690001374306	ZNF559
ENSFM00690001374305	ZNF559
ENSFM00250000004152	TMEM50A
ENSFM00730001522041	CPXM2
ENSFM00760001714601	ANXA11
ENSFM00550000763896	ANXA11
ENSFM00600000921186	ANP32D
ENSFM00500000274548	PGF
ENSFM00250000004651	SYNM
ENSFM00260000050393	AVPR1B
ENSFM00500000271981	F11R
ENSFM00250000006920	TXNDC15
ENSFM00580000910600	TXNDC15
ENSFM00580000910601	TXNDC15
ENSFM00760001715004	NXPE4
ENSFM00250000003986	SNAPC4
ENSFM00250000001942	PLIN3
ENSFM00690001374289	PLIN3
ENSFM00250000009990	EPGN
ENSFM00580000907753	EPGN
ENSFM00250000004023	GMCL1
ENSFM00500000272131	ULK3
ENSFM00660001189173	ULK3
ENSFM00660001189174	ULK3
ENSFM00660001189175	ULK3
ENSFM00660001189176	ULK3
ENSFM00660001175766	ULK3
ENSFM00740001589180	BIRC3
ENSFM00760001714620	HDC
ENSFM00460000244999	MPZL3
ENSFM00610000971457	MPZL3
ENSFM00740001589503	ADAR
ENSFM00250000002547	LANCL1
ENSFM00550000749727	LANCL1
ENSFM00670001237944	VAMP5
ENSFM00250000003999	ESD
ENSFM00500000270670	TMLHE
ENSFM00500000282043	FAM9C
ENSFM00500000387917	FAM9C
ENSFM00250000006598	ATP5J2-PTCD1
ENSFM00550000757904	ATP5J2-PTCD1
ENSFM00250000000893	KDM4D
ENSFM00250000006769	NANOGP8
ENSFM00250000001044	GRHL2
ENSFM00600000945485	GRHL2
ENSFM00390000126345	ADAM10
ENSFM00500000438021	ADAM10
ENSFM00650001149036	ADAM10
ENSFM00660001182292	ADAM10
ENSFM00650001147928	ADAM10
ENSFM00760001763486	ADAM10
ENSFM00250000008927	HEPACAM2
ENSFM00250000007327	FADS6
ENSFM00760001742441	FADS6
ENSFM00250000005094	NUP107
ENSFM00620001012751	NUP107
ENSFM00620001012752	NUP107
ENSFM00250000000259	HIST1H3B
ENSFM00500000271140	CLEC4C
ENSFM00500000271808	CLEC4C
ENSFM00730001521433	CPO
ENSFM00730001521849	DHX38
ENSFM00500000273343	MPV17L2
ENSFM00250000004927	LRRC32
ENSFM00250000001010	ANKS1A
ENSFM00500000273078	CD3D
ENSFM00690001358938	CD3D
ENSFM00680001325954	MYOCD
ENSFM00630001050598	MYOCD
ENSFM00250000004828	MRPS10
ENSFM00500000270074	MAN2A1
ENSFM00600000921291	KLF6
ENSFM00790001963123	KIAA1462
ENSFM00500000271098	DCPS
ENSFM00500000270820	NUP93
ENSFM00660001182597	NUP93
ENSFM00660001189717	NUP93
ENSFM00660001174263	NUP93
ENSFM00720001492055	ABCD4
ENSFM00610000973707	ABCD4
ENSFM00610000973708	ABCD4
ENSFM00640001116721	ABCD4
ENSFM00640001120059	ABCD4
ENSFM00250000001490	GIT2
ENSFM00250000001273	CTBP2
ENSFM00610000973774	CTBP2
ENSFM00260000051076	VTCN1
ENSFM00760001763555	VTCN1
ENSFM00500000311592	KRTAP19-5
ENSFM00250000001464	RCOR3
ENSFM00610000964066	RCOR3
ENSFM00610000961163	RCOR3
ENSFM00500000277157	PRIMA1
ENSFM00570000851280	NKD2
ENSFM00500000273342	CNIH4
ENSFM00550000750809	AQP12B
ENSFM00260000051233	AQP12B
ENSFM00740001589072	KLHL28
ENSFM00640001120007	KLHL28
ENSFM00250000010680	THAP5
ENSFM00550000756463	THAP5
ENSFM00250000005548	DNAAF5
ENSFM00250000004293	VPS16
ENSFM00250000000926	ACAP1
ENSFM00670001280761	ACAP1
ENSFM00670001277493	ACAP1
ENSFM00250000002244	NXPH2
ENSFM00740001593606	TRAV13-2
ENSFM00500000271995	BCL2L11
ENSFM00500000331378	BCL2L11
ENSFM00500000285849	BCL2L11
ENSFM00550000760629	BCL2L11
ENSFM00550000765213	BCL2L11
ENSFM00550000746165	BCL2L11
ENSFM00500000291051	BCL2L11
ENSFM00760001718529	BCL2L11
ENSFM00800002003453	ADRBK1
ENSFM00250000001107	TOR2A
ENSFM00770001867446	TOR2A
ENSFM00500000273088	PYGO1
ENSFM00250000007700	BEND6
ENSFM00440000236928	HADHB
ENSFM00250000000938	CNNM1
ENSFM00250000000002	ZNF727
ENSFM00250000001768	PADI2
ENSFM00250000006409	NBN
ENSFM00550000746339	NBN
ENSFM00250000003048	MED16
ENSFM00760001742499	MED16
ENSFM00690001364756	MED16
ENSFM00690001364757	MED16
ENSFM00550000769402	MED16
ENSFM00250000008345	FSIP1
ENSFM00650001148982	FSIP1
ENSFM00250000001967	AGPAT6
ENSFM00600000945394	AGPAT6
ENSFM00250000001468	VARS2
ENSFM00250000001080	B3GAT1
ENSFM00500000271998	VPS25
ENSFM00690001365677	VPS25
ENSFM00250000006258	ZC2HC1C
ENSFM00260000050525	SMAD7
ENSFM00620001015916	TIRAP
ENSFM00250000008280	TIRAP
ENSFM00670001275664	TNFRSF12A
ENSFM00670001237335	TNFRSF12A
ENSFM00500000443659	TNFRSF12A
ENSFM00670001282129	TNFRSF12A
ENSFM00670001282130	TNFRSF12A
ENSFM00670001282131	TNFRSF12A
ENSFM00250000003734	KRIT1
ENSFM00550000765266	KRIT1
ENSFM00550000759423	KRIT1
ENSFM00550000754471	KRIT1
ENSFM00550000769956	KRIT1
ENSFM00550000764886	KRIT1
ENSFM00550000756105	KRIT1
ENSFM00550000749465	KRIT1
ENSFM00600000923097	H1FNT
ENSFM00600000921416	DMP1
ENSFM00730001521707	LYN
ENSFM00730001522398	UGT3A1
ENSFM00580000910510	UGT3A1
ENSFM00250000003490	CDSN
ENSFM00570000851006	RPS6KA3
ENSFM00730001521191	SCTR
ENSFM00260000050686	RAB40A
ENSFM00250000004798	CXorf56
ENSFM00250000004805	EMC2
ENSFM00500000270369	GDF5
ENSFM00750001632993	ZNF773
ENSFM00730001521252	ZNF773
ENSFM00250000001156	ABHD17A
ENSFM00690001369744	ABHD17A
ENSFM00250000006400	APCDD1L
ENSFM00620001002049	APCDD1L
ENSFM00300000088350	GDF5OS
ENSFM00250000004775	MUL1
ENSFM00500000272620	TMEM26
ENSFM00730001521220	MARK1
ENSFM00250000005131	ADPRHL2
ENSFM00730001521313	PCDHGA3
ENSFM00250000003710	GKAP1
ENSFM00560000840082	GKAP1
ENSFM00250000004096	AKAP4
ENSFM00670001236159	BHLHE22
ENSFM00250000005563	WDR83
ENSFM00630001066136	WDR83
ENSFM00630001054147	WDR83
ENSFM00250000003854	USH1C
ENSFM00570000851010	NLRP11
ENSFM00690001374501	NLRP11
ENSFM00500000269751	CLDN6
ENSFM00670001282128	CLDN6
ENSFM00250000007383	RNF135
ENSFM00690001375244	RNF135
ENSFM00730001521313	PCDHGA12
ENSFM00250000001642	TRIM63
ENSFM00670001238973	BGLAP
ENSFM00670001239063	PSORS1C2
ENSFM00690001371311	PJA1
ENSFM00250000003742	PJA1
ENSFM00500000270815	CLINT1
ENSFM00610000968407	CLINT1
ENSFM00610000968408	CLINT1
ENSFM00250000000024	MYH2
ENSFM00760001721927	ACOT2
ENSFM00250000000948	ACOT2
ENSFM00250000009098	FANCD2OS
ENSFM00600000941122	FANCD2OS
ENSFM00500000275503	GADD45GIP1
ENSFM00640001112842	GMFB
ENSFM00500000270656	GMFB
ENSFM00730001521809	CYB5R1
ENSFM00250000000285	C4B
ENSFM00500000269697	FUT3
ENSFM00690001374296	FUT3
ENSFM00690001374297	FUT3
ENSFM00250000002171	PURB
ENSFM00730001521421	ACAT1
ENSFM00610000969716	ACAT1
ENSFM00730001521658	CXCR4
ENSFM00740001589301	C6
ENSFM00550000750953	C6
ENSFM00800002003678	KDM1A
ENSFM00250000001343	RGMA
ENSFM00640001115289	RGMA
ENSFM00640001115290	RGMA
ENSFM00640001118156	RGMA
ENSFM00250000002697	EPT1
ENSFM00500000273905	TNIP3
ENSFM00580000908378	TNIP3
ENSFM00500000270851	PSME3
ENSFM00690001375338	PSME3
ENSFM00250000009947	TMEM127
ENSFM00500000272003	PDLIM2
ENSFM00760001763384	PDLIM2
ENSFM00550000768551	PDLIM2
ENSFM00760001751012	PDLIM2
ENSFM00670001236675	SH3BGRL3
ENSFM00500000368501	SH3BGRL3
ENSFM00730001521509	SLC9A9
ENSFM00560000809739	SLC9A9
ENSFM00250000000944	RALGAPA2
ENSFM00250000003493	EFHD2
ENSFM00250000000629	RIMS1
ENSFM00680001326806	BRD2
ENSFM00680001326448	TMEM220
ENSFM00500000274886	TMEM220
ENSFM00500000272388	NGB
ENSFM00430000230074	OR2B11
ENSFM00730001521758	NR2E3
ENSFM00670001235849	IGLV1-36
ENSFM00250000007839	CNBD2
ENSFM00760001762627	CNBD2
ENSFM00500000322924	CNBD2
ENSFM00800002003665	ABCB8
ENSFM00560000842923	ABCB8
ENSFM00560000835557	ABCB8
ENSFM00560000836016	ABCB8
ENSFM00670001236333	IGLV5-37
ENSFM00670001236509	NDUFAF2
ENSFM00580000905780	NDUFAF2
ENSFM00580000905781	NDUFAF2
ENSFM00250000000608	ASIC2
ENSFM00250000006366	B9D2
ENSFM00700001401543	B9D2
ENSFM00730001521060	ACTG1
ENSFM00500000274571	NEUROG3
ENSFM00800002003943	BOD1
ENSFM00560000829205	BOD1
ENSFM00560000848115	BOD1
ENSFM00560000850061	BOD1
ENSFM00250000000002	ZNF790
ENSFM00610000971308	ZNF790
ENSFM00250000007518	SLC35A5
ENSFM00250000003291	SMG6
ENSFM00670001241012	TRBV27
ENSFM00730001521441	RAB3A
ENSFM00670001236192	RTP3
ENSFM00670001282240	TRBJ2-1
ENSFM00570000851010	NLRP4
ENSFM00250000004102	ATXN1
ENSFM00250000003609	METTL4
ENSFM00670001281163	METTL4
ENSFM00730001543556	SP140
ENSFM00740001589402	SP140
ENSFM00670001282245	TRBJ2-5
ENSFM00250000001622	MYCBP2
ENSFM00760001746969	MYCBP2
ENSFM00600000921823	TOMM22
ENSFM00780001898738	TRBV28
ENSFM00500000270478	TRBV28
ENSFM00730001521292	CORO1A
ENSFM00740001589091	ZSCAN30
ENSFM00700001406388	ZSCAN30
ENSFM00700001406390	ZSCAN30
ENSFM00690001374127	ZSCAN30
ENSFM00690001374128	ZSCAN30
ENSFM00740001589310	ZSCAN30
ENSFM00500000274890	CCDC97
ENSFM00700001407553	CCDC97
ENSFM00700001401541	CCDC97
ENSFM00250000000461	CNGA1
ENSFM00250000004703	GPR162
ENSFM00500000269840	ADRA1D
ENSFM00500000270274	UBXN2B
ENSFM00600000941977	UBXN2B
ENSFM00730001522103	PDE6C
ENSFM00600000921291	KLF7
ENSFM00550000757068	KLF7
ENSFM00550000750665	KLF7
ENSFM00550000757866	KLF7
ENSFM00730001521313	PCDHGA4
ENSFM00500000311885	C12orf54
ENSFM00670001263763	C12orf54
ENSFM00630001064554	C12orf54
ENSFM00670001240662	LRRC75A
ENSFM00250000005430	LRRC75A
ENSFM00250000010723	FAM217A
ENSFM00560000829064	FAM217A
ENSFM00560000822781	FAM217A
ENSFM00610000955032	PIP5K1A
ENSFM00730001521611	PIP5K1A
ENSFM00550000769717	PIP5K1A
ENSFM00610000955077	PIP5K1A
ENSFM00770001850624	PIP5K1A
ENSFM00250000006439	ANKRD55
ENSFM00250000000816	SLC25A5
ENSFM00250000010696	C21orf62
ENSFM00250000000002	ZNF470
ENSFM00700001407681	ZNF470
ENSFM00640001119865	HLA-DQA1
ENSFM00500000270287	HOXB2
ENSFM00710001441900	KIF6
ENSFM00800002003550	ALDH4A1
ENSFM00500000271507	NAT8
ENSFM00600000921232	LSM14A
ENSFM00670001276924	LSM14A
ENSFM00500000288028	C2orf83
ENSFM00670001266327	C2orf83
ENSFM00500000271022	TMED10
ENSFM00670001235849	IGLV1-40
ENSFM00780001898496	RBM19
ENSFM00250000002653	WDR90
ENSFM00630001066979	WDR90
ENSFM00630001072063	WDR90
ENSFM00440000236889	ETS2
ENSFM00500000273132	EMC9
ENSFM00500000275253	FAM195A
ENSFM00670001276938	FAM195A
ENSFM00610000968060	FAM195A
ENSFM00660001162098	CCNF
ENSFM00250000005539	CCNF
ENSFM00250000001478	HPRT1
ENSFM00500000274836	NINJ1
ENSFM00730001521238	RAB1A
ENSFM00670001238119	RAB1A
ENSFM00500000269952	P3H2
ENSFM00500000281898	TMIGD2
ENSFM00740001589167	GJB1
ENSFM00250000005665	NUPL2
ENSFM00550000757208	NUPL2
ENSFM00760001748764	NUPL2
ENSFM00250000000380	CNTNAP3B
ENSFM00250000002557	SVOPL
ENSFM00560000771055	P2RY4
ENSFM00250000003138	EIF5B
ENSFM00500000270089	HOXB5
ENSFM00730001521171	AKR1B1
ENSFM00550000767795	AKR1B1
ENSFM00730001521505	GLP1R
ENSFM00250000000865	CCKBR
ENSFM00610000969697	CCKBR
ENSFM00670001235443	HOXB6
ENSFM00500000279717	SOX12
ENSFM00730001521404	MC4R
ENSFM00250000010740	EXO5
ENSFM00670001237453	TMEM80
ENSFM00720001498283	TMEM80
ENSFM00500000270478	TRBC2
ENSFM00250000005219	PIGM
ENSFM00500000272558	FOXD4L4
ENSFM00730001521288	TRPM6
ENSFM00730001521785	TRIP6
ENSFM00550000749165	TRIP6
ENSFM00550000765981	TRIP6
ENSFM00250000000875	NCOA2
ENSFM00600000945431	NCOA2
ENSFM00600000945430	NCOA2
ENSFM00250000000897	GGA2
ENSFM00660001189652	GGA2
ENSFM00660001189653	GGA2
ENSFM00670001271062	GGA2
ENSFM00740001589080	ADAMTS12
ENSFM00250000000259	H3F3C
ENSFM00500000272618	STXBP6
ENSFM00670001268737	STXBP6
ENSFM00630001064370	STXBP6
ENSFM00250000001258	SLC19A3
ENSFM00550000760308	SLC19A3
ENSFM00550000758138	SLC19A3
ENSFM00520000558746	SLC19A3
ENSFM00380000124738	FEZF2
ENSFM00500000274564	SAMD1
ENSFM00500000270234	ITGA9
ENSFM00550000769681	ITGA9
ENSFM00500000321316	KRTAP19-7
ENSFM00760001763219	KRTAP19-7
ENSFM00500000275145	NR2C2AP
ENSFM00620001015431	NR2C2AP
ENSFM00730001544001	NR2C2AP
ENSFM00600000921717	MAPK1IP1L
ENSFM00700001391983	POLR1D
ENSFM00670001236724	POLR1D
ENSFM00670001236568	POLR1D
ENSFM00760001743926	POLR1D
ENSFM00790001972482	POLR1D
ENSFM00470000251441	ABCG4
ENSFM00500000272063	PPCDC
ENSFM00660001175549	PPCDC
ENSFM00660001182165	PPCDC
ENSFM00500000273344	FAM96A
ENSFM00650001147309	FAM96A
ENSFM00730001522007	LATS2
ENSFM00500000270007	SYNPR
ENSFM00560000787069	SYNPR
ENSFM00560000809427	SYNPR
ENSFM00560000828770	SYNPR
ENSFM00560000817648	SYNPR
ENSFM00250000000796	KCNN3
ENSFM00500000304402	TRBV20OR9-2
ENSFM00250000001343	RGMB
ENSFM00250000000604	AGAP1
ENSFM00670001241854	C14orf142
ENSFM00640001115438	C14orf142
ENSFM00250000001168	MTCL1
ENSFM00680001316231	MTCL1
ENSFM00570000851068	OASL
ENSFM00250000006266	HDDC3
ENSFM00670001235608	PFN2
ENSFM00560000799085	PFN2
ENSFM00560000823116	PFN2
ENSFM00500000273098	ROPN1
ENSFM00560000812142	ROPN1
ENSFM00560000837011	ROPN1
ENSFM00740001589480	TTC17
ENSFM00610000967861	TTC17
ENSFM00500000274330	MRPL42
ENSFM00630001053436	MRPL42
ENSFM00630001070538	MRPL42
ENSFM00670001236014	CASZ1
ENSFM00250000007503	ATXN10
ENSFM00670001260508	ATXN10
ENSFM00250000008057	MAVS
ENSFM00730001521138	KRT9
ENSFM00440000237071	NRSN2
ENSFM00760001746565	NRSN2
ENSFM00740001606417	NRSN2
ENSFM00740001606418	NRSN2
ENSFM00250000001333	EXOC3
ENSFM00580000905177	EXOC3
ENSFM00250000003256	YTHDC1
ENSFM00680001315329	YTHDC1
ENSFM00680001315331	YTHDC1
ENSFM00680001327148	YTHDC1
ENSFM00800002003437	CKMT2
ENSFM00250000007674	CEP68
ENSFM00800002003512	MYO1C
ENSFM00690001358973	MYO1C
ENSFM00250000007945	CCDC138
ENSFM00550000747717	CCDC138
ENSFM00740001613107	CCDC138
ENSFM00250000003813	TMEM67
ENSFM00600000945470	TMEM67
ENSFM00600000942038	TMEM67
ENSFM00600000942039	TMEM67
ENSFM00250000005892	CD276
ENSFM00650001149078	CD276
ENSFM00650001147872	CD276
ENSFM00250000001052	AFM
ENSFM00250000001027	SLC41A3
ENSFM00580000906368	SLC41A3
ENSFM00260000050612	MTMR12
ENSFM00580000910496	MTMR12
ENSFM00580000910497	MTMR12
ENSFM00250000001930	STIM1
ENSFM00610000963604	STIM1
ENSFM00610000963606	STIM1
ENSFM00250000009067	CCDC70
ENSFM00610000968305	PIGY
ENSFM00250000007430	CD5
ENSFM00600000921381	ZNF207
ENSFM00680001316202	ZNF207
ENSFM00680001316204	ZNF207
ENSFM00600000922482	NAP1L5
ENSFM00730001521632	MYO7A
ENSFM00400000131718	GABRB3
ENSFM00640001118147	GABRB3
ENSFM00250000005672	POT1
ENSFM00740001608406	POT1
ENSFM00740001606728	POT1
ENSFM00550000756114	POT1
ENSFM00740001606729	POT1
ENSFM00730001521444	OR51M1
ENSFM00250000002588	CTAGE5
ENSFM00500000270466	RRP1
ENSFM00580000906749	RRP1
ENSFM00730001521885	KIF16B
ENSFM00250000000995	PIAS3
ENSFM00730001542493	PIAS3
ENSFM00500000269817	STAT5A
ENSFM00250000009973	KIAA1671
ENSFM00250000000231	COL11A2
ENSFM00730001521400	KCNJ10
ENSFM00740001589441	CFAP74
ENSFM00740001593090	CFAP74
ENSFM00500000274260	PHLDA1
ENSFM00740001589150	MATN4
ENSFM00730001521147	CHRNA3
ENSFM00650001149099	CHRNA3
ENSFM00500000269866	HOXB4
ENSFM00350000105407	FMNL3
ENSFM00630001068582	FMNL3
ENSFM00250000009487	TMEM251
ENSFM00250000002431	CHSY1
ENSFM00730001521291	VIM
ENSFM00500000270940	SSU72
ENSFM00500000357343	SSU72
ENSFM00500000273874	GKN1
ENSFM00670001235442	PSG6
ENSFM00700001404200	PSG6
ENSFM00700001403428	PSG6
ENSFM00250000009024	TMEM140
ENSFM00500000270409	PCGF2
ENSFM00760001751606	PCGF2
ENSFM00500000273220	CHST14
ENSFM00250000009464	PPP1R17
ENSFM00250000005036	UBR7
ENSFM00650001141938	SPANXN5
ENSFM00770001847591	OR51B5
ENSFM00250000001343	HFE2
ENSFM00750001632354	SCD
ENSFM00600000922484	C7orf49
ENSFM00760001749989	C7orf49
ENSFM00770001847521	OR51J1
ENSFM00500000270456	PAPD7
ENSFM00580000909215	PAPD7
ENSFM00730001521182	OR52D1
ENSFM00250000000937	RORA
ENSFM00630001071986	RORA
ENSFM00760001761946	RORA
ENSFM00670001235703	KRTAP4-11
ENSFM00250000006062	FANCM
ENSFM00550000759637	ABCB4
ENSFM00730001521159	ABCB4
ENSFM00550000767652	ABCB4
ENSFM00760001721741	RHBG
ENSFM00280000058667	RHBG
ENSFM00550000770785	RHBG
ENSFM00320000100305	TNFRSF9
ENSFM00690001368290	TNFRSF9
ENSFM00690001368291	TNFRSF9
ENSFM00500000269666	ACSL1
ENSFM00670001282320	KANSL1
ENSFM00500000272331	DHRS12
ENSFM00760001741981	DHRS12
ENSFM00250000005245	SF3A2
ENSFM00770001847623	BRAP
ENSFM00500000270035	KLRC1
ENSFM00620001014857	KLRC1
ENSFM00720001492028	CYP27C1
ENSFM00250000002425	TMEM161A
ENSFM00690001365286	TMEM161A
ENSFM00740001606374	TMEM161A
ENSFM00260000050944	PRG4
ENSFM00800002003918	GRSF1
ENSFM00580000908170	GRSF1
ENSFM00730001521485	CHD9
ENSFM00660001180350	CHD9
ENSFM00670001277020	CHD9
ENSFM00500000270535	HSDL2
ENSFM00670001237111	C1orf210
ENSFM00500000273276	FAM167A
ENSFM00250000002187	MTX1
ENSFM00740001599370	MTX1
ENSFM00560000771049	CFAP46
ENSFM00500000272946	TCTEX1D1
ENSFM00610000961805	TCTEX1D1
ENSFM00250000002417	NT5C3A
ENSFM00740001599707	NT5C3A
ENSFM00550000758520	NT5C3A
ENSFM00620001013964	RAD51AP1
ENSFM00250000007381	RAD51AP1
ENSFM00620001013965	RAD51AP1
ENSFM00620001002706	RAD51AP1
ENSFM00620001013963	RAD51AP1
ENSFM00730001521227	UBE2D2
ENSFM00730001521480	WNT16
ENSFM00380000124692	KIAA1109
ENSFM00540000717958	INO80
ENSFM00650001148993	INO80
ENSFM00650001148994	INO80
ENSFM00500000270301	GSTO1
ENSFM00500000270239	PSMA4
ENSFM00500000273825	XKR9
ENSFM00730001521471	GNA11
ENSFM00760001762962	GNA11
ENSFM00730001521891	CHRNA5
ENSFM00650001149098	CHRNA5
ENSFM00500000272721	VKORC1L1
ENSFM00500000294331	VKORC1L1
ENSFM00730001521275	SSTR2
ENSFM00670001245011	SCGB2B2
ENSFM00250000007020	CCDC125
ENSFM00730001521124	ARF1
ENSFM00500000272806	CYTIP
ENSFM00550000755726	CYTIP
ENSFM00550000766437	CYTIP
ENSFM00550000750424	CYTIP
ENSFM00510000503052	FAM104A
ENSFM00680001318316	FAM104A
ENSFM00680001318317	FAM104A
ENSFM00250000000682	CYR61
ENSFM00400000131764	CDKL1
ENSFM00610000969377	CDKL1
ENSFM00500000270513	SNRPB
ENSFM00720001498847	SNRPB
ENSFM00610000968783	MS4A4E
ENSFM00610000968784	MS4A4E
ENSFM00550000752834	MS4A4E
ENSFM00760001722451	MS4A4E
ENSFM00500000303119	MS4A4E
ENSFM00500000276003	MS4A4E
ENSFM00250000006994	ITFG3
ENSFM00550000763544	ITFG3
ENSFM00550000764563	ITFG3
ENSFM00600000921863	TMEM88
ENSFM00670001274270	TMEM88
ENSFM00250000006163	TPCN1
ENSFM00630001070662	TPCN1
ENSFM00600000921986	LSMEM2
ENSFM00250000002736	TMEM209
ENSFM00560000846709	TMEM209
ENSFM00250000001809	SLFN12
ENSFM00550000766602	SLFN12
ENSFM00250000004841	TBC1D7
ENSFM00730001537852	TBC1D7
ENSFM00730001543936	TBC1D7
ENSFM00600000921799	PRRT1
ENSFM00550000757961	PRRT1
ENSFM00250000001554	PLS1
ENSFM00560000848357	PLS1
ENSFM00560000811707	PLS1
ENSFM00560000805100	PLS1
ENSFM00560000844257	PLS1
ENSFM00250000005597	DAXX
